Track;URI;Track;Name;Album;Name;Artist;Name(s);Release;Date;Duration;(ms);Popularity;Explicit;Added;By;Added;At;Genres;Record;Label;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time;Signature
spotify:track:0loxOLrtuQBxkqdoTKTIj2;La Quiero A Morir;La Quiero A Morir;Manzanita;1980;207960;51;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Sony Music Media;0.639;0.424;2;-16.071;1;0.0437;0.835;0.00216;0.194;0.714;139.646;4;;;;;;;;;;
spotify:track:3gO8mvkxIcyF9N7Vd1WM2i;Perdóname;Camilo Superstar;Camilo Sesto;04/01/1980;232360;56;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;bolero;Ariola;0.378;0.567;2;-6.591;1;0.032;0.27;0.0000016;0.302;0.333;133.343;4;;;;;;;;;;
spotify:track:5iFfs675sFR6H4AGKcWef4;Donde Habita el Olvido;19 Dias Y 500 Noches;Joaquín Sabina;27/09/1999;210506;40;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,cantautores,nueva trova;Legacy Recordings;0.737;0.492;9;-8.335;0;0.0368;0.86;0.00000162;0.207;0.42;117.756;4;;;;;;;;;;
spotify:track:5DqlRmxgfEBhrYApZ9lBqB;Como Quien Da un Refresco;Arena En Los Bolsillos;Manolo Garcia;14/11/1998;278306;39;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Ariola;0.527;0.556;6;-6.124;0;0.0482;0.519;0;0.271;0.327;71.544;4;;;;;;;;;;
spotify:track:61ccRl3FBtLs3U5HuBtP6e;El Hombre del Piano;26 Grandes Canciones Y Una Nube Blanca;Ana Belén;1979;317733;50;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,nueva trova,cantautores,bolero;Columbia;0.526;0.337;5;-13.565;1;0.0291;0.127;0;0.136;0.303;84.103;3;;;;;;;;;;
spotify:track:7gD2QkknRa4ZvlRVyU6ZO0;No Dudaria;Lo Mejor de Antonio;Antonio Flores;06/06/1994;213600;47;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,trova,cantautores;Epic;0.599;0.764;0;-9.036;1;0.038;0.717;0.00000236;0.204;0.7;139.773;4;;;;;;;;;;
spotify:track:4vUEbLdjoExdf1FrzZZwuA;Del Bosque de Tu Alegria;Arena En Los Bolsillos;Manolo Garcia;14/11/1998;270093;34;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Ariola;0.671;0.676;6;-3.946;1;0.0326;0.212;0;0.243;0.571;95.613;4;;;;;;;;;;
spotify:track:6Xueg8DmwhkU4xf0Q3xlWN;Sorprendente;Corre Corre;Leño;01/07/1982;245440;46;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Zafiro;0.424;0.915;9;-5.684;1;0.0647;0.0000555;0.0000556;0.346;0.584;168.38;4;;;;;;;;;;
spotify:track:1iRf1TGSCLaxU7O7iBLiuV;Con la Frente Marchita;Mentiras Piadosas;Joaquín Sabina;07/05/1990;301040;53;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,cantautores,nueva trova;Ariola;0.352;0.538;7;-10.816;0;0.116;0.358;0;0.133;0.501;169.902;3;;;;;;;;;;
spotify:track:4FdwRmlzP5KGM7OewGBYiu;Olvídame y Pega la Vuelta;Pimpinela;Pimpinela;15/07/1982;185800;67;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Columbia;0.485;0.838;8;-5.759;1;0.181;0.454;0;0.691;0.571;76.693;4;;;;;;;;;;
spotify:track:3ja1qnawwz4yqGETFEVLL0;Baron Rojo;Larga Vida Al Rock & Roll;Barón Rojo;1981;340000;36;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;rock en español,heavy metal;Zafiro;0.421;0.743;9;-10.692;1;0.0638;0.00255;0.153;0.16;0.57;131.316;4;;;;;;;;;;
spotify:track:5d0M8iFSNn4fonHyRT8yeq;El Pistolero;Persecucion;Pistones;02/01/1983;233266;42;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Ariola;0.722;0.695;2;-9.33;1;0.0293;0.0204;0.000115;0.257;0.692;123.599;4;;;;;;;;;;
spotify:track:6D3YqQ9dUA9LBOLw4CEUj1;El Toro Guapo;Como un Gigante;El Fary;1984;205653;45;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Legacy Recordings;0.61;0.751;7;-5.549;1;0.0735;0.556;0;0.0939;0.556;124.737;4;;;;;;;;;;
spotify:track:2TC4v9YiuQYk3Tk8RH7fV4;Amor Eterno;Canta A Juan Gabriel;Rocío Dúrcal;1984;409466;67;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;ranchera,mariachi,bolero;RCA Records Label;0.274;0.171;0;-16.847;1;0.0326;0.456;0.0024;0.808;0.407;177.081;4;;;;;;;;;;
spotify:track:02PROe7elhI6Cyu6KJONhX;Un Ramito de Violetas;Un Ramito De Violetas;Manzanita;1981;283866;53;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Sony Music Media;0.663;0.368;8;-15.672;0;0.0494;0.663;0.0000138;0.281;0.825;134.075;4;;;;;;;;;;
spotify:track:65DBZofI0b79kfHTcWWDuU;Trátame Suavemente - Remasterizado 2007;Soda Stereo (Remastered);Soda Stereo;06/02/1984;200800;74;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;rock en español,rock latino,rock argentino,música alternativa latina;Columbia;0.738;0.8;11;-3.366;0;0.0283;0.043;0.0543;0.595;0.532;122.858;4;;;;;;;;;;
spotify:track:1gNXYvLc14OmqK6gSJKLUM;Como una Ola;Coleccion Original: Rocio Jurado;Rocío Jurado;01/01/1999;256093;42;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco;RCA Records Label;0.602;0.465;4;-7.539;1;0.0314;0.758;0.0000192;0.058;0.397;104.265;4;;;;;;;;;;
spotify:track:6XSYNsvSOtDzmH3lFUJnQl;Señora;15 Exitos Originales Con Rocio Jurado;Rocío Jurado;11/03/1984;219933;49;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco;RCA Records Label;0.466;0.408;8;-17.623;0;0.137;0.287;0;0.0533;0.56;78.918;3;;;;;;;;;;
spotify:track:5fCYRuYxc1ox7yWKcKD6tf;Rock And Roll en la Plaza del Pueblo;Matricula De Honor/New Booklet;Tequila;04/01/1978;180266;42;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Zafiro;0.423;0.909;7;-2.438;1;0.0801;0.00451;0.0000171;0.279;0.65;151.643;4;;;;;;;;;;
spotify:track:7kCiAaismDVaCjpyGF3YJB;Maneras de Vivir (Single Estudio);Maneras De Vivir;Leño;21/04/1997;252933;49;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Zafiro;0.651;0.579;2;-8.537;1;0.0279;0.015;0.000796;0.162;0.669;126.382;4;;;;;;;;;;
spotify:track:5sh52OSkS9OoEBJSI2CVxr;Que Difícil Es Hacer El Amor En Un Simca 1000;Cara-Dura;Los Inhumanos;19/03/2001;184573;33;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;rock en español;Zafiro;0.866;0.542;0;-6.44;1;0.0379;0.666;0;0.107;0.704;99.947;4;;;;;;;;;;
spotify:track:7J0niAY0FLzGiCVJUREl88;Escuela de Calor;La Ley Del Desierto;Radio Futura;20/04/1984;210840;54;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;rock en español;Ariola;0.702;0.804;2;-10.086;1;0.0331;0.121;0.0231;0.0294;0.961;121.999;4;;;;;;;;;;
spotify:track:4YQ9WEYQG7fq0MAUYeB19Y;Vamos Muy Bien;El Que Mas;Obus;01/07/1984;218133;39;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Zafiro;0.362;0.974;2;-5.585;1;0.0964;0.015;0.00000829;0.963;0.675;140.218;4;;;;;;;;;;
