Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7aOFPde65u12EJmh1dr7uL,"La Gata Bajo la Lluvia","Mis Mejores Canciones","Rocío Dúrcal",1992-10-14,217506,56,false,majosegarcia,2016-08-28T14:36:22Z,"ranchera,mariachi,bolero","Ariola",0.302,0.461,7,-12.678,1,0.0547,0.717,0.00000223,0.57,0.521,175.799,4
spotify:track:33aRBtGFUITyz7fYwSRe7O,"Juntos","Las canciones de mi vida","Paloma San Basilio",2014-11-18,261813,25,false,majosegarcia,2016-08-28T14:37:18Z,"","Parlophone Spain",0.584,0.953,10,-4.838,1,0.0926,0.324,0.0000361,0.276,0.806,137.707,4
spotify:track:1aZc9YBrZpKCE1YqSMV5Vg,"Chica de ayer","Grandes Éxitos: Nacha Pop","Nacha Pop",2005-03-21,208026,48,false,majosegarcia,2016-08-28T14:38:21Z,"rock en español","Parlophone Spain",0.674,0.854,7,-4.337,1,0.034,0.0579,0.00041,0.0735,0.684,127.295,4
spotify:track:5i07tC6hV5AtYTr0tsP0Uy,"Cien gaviotas","20 años de canciones","Duncan Dhu",2005-11-28,169773,45,false,majosegarcia,2016-08-28T14:38:36Z,"rock en español,rock latino","DRO/EastWest Spain",0.593,0.943,9,-4.503,1,0.0424,0.133,0.0000438,0.0478,0.846,136.027,4
spotify:track:1gNXYvLc14OmqK6gSJKLUM,"Como una Ola","Coleccion Original: Rocio Jurado","Rocío Jurado",1999-01-01,256093,42,false,majosegarcia,2016-08-28T14:39:25Z,"flamenco","RCA Records Label",0.602,0.465,4,-7.539,1,0.0314,0.758,0.0000192,0.058,0.397,104.265,4
spotify:track:38EKqFChMuL8oGCj1YnBRa,"Solo Le Pido a Dios - En Directo","Mucho Mas Que Dos (Live In Concert)","Antonio Flores;Ana Belén",1994-05-09,189800,33,false,majosegarcia,2016-08-28T14:39:57Z,"flamenco,trova,cantautores,nueva trova,bolero","Ariola",0.311,0.537,11,-10.912,0,0.0659,0.171,0,0.799,0.272,86.846,4
spotify:track:5PCxu8hKPFONowJenloshl,"Súper Supermán","Bravo Bosé - 30 Grandes Exitos","Miguel Bosé",1999-10-11,221333,20,false,majosegarcia,2016-08-28T14:40:45Z,"pop latino","Sony Music Media",0.672,0.884,4,-9.847,0,0.0325,0.0369,0.549,0.164,0.908,136.181,4
spotify:track:7Bewui7KtaMzROeteRitRz,"Mediterraneo","Mediterráneo","Joan Manuel Serrat",1971,205226,58,false,majosegarcia,2016-08-28T14:41:38Z,"trova,nueva trova,cantautores","Ariola",0.545,0.59,9,-7.257,0,0.0813,0.599,0,0.0916,0.583,100.835,3
spotify:track:5X7HaYdvc9Slc3D75kkkbl,"No me hables - 2012 Remastered Version","Juan Mucho Mas Juan [Remastered] (Remastered Version)","Juan Pardo",2012-11-16,210013,49,false,majosegarcia,2016-08-28T14:43:08Z,"","Parlophone Spain",0.633,0.892,7,-3.591,1,0.032,0.232,0.0000069,0.104,0.94,113.833,4
spotify:track:17DrqnUASfxDK5OsHed5Jp,"Vivimos siempre juntos","Vivimos Siempre Juntos","Nacho Cano",2006-04-14,255200,0,false,majosegarcia,2016-08-28T14:44:23Z,"","Parlophone Spain",0.729,0.709,9,-9.166,1,0.0258,0.335,0.000288,0.0918,0.701,117.693,4
spotify:track:5IU4JO2cpa0wPK8oQWFfCr,"Un Beso Y Una Flor","Super 20","Nino Bravo",1976-01-01,272800,64,false,majosegarcia,2016-08-28T14:45:15Z,"","Universal Music Spain S.L.",0.258,0.522,9,-9.859,1,0.0316,0.688,0,0.0703,0.419,167.582,4
