Número;Título;Artista;Año;Enlace
86;El Vals del Obrero;Ska-P;1994;https://open.spotify.com/intl-es/track/4UjqoyfmarLo3Ub3LE19eC
87;Pantera en Libertad;Monica Naranjo;1996;https://open.spotify.com/intl-es/track/6BEhC3j62wIpe9m7zPL4Tx
88;Vino Tinto;Estopa;2001;https://open.spotify.com/intl-es/track/15m2Op4d1ZtX0ScPaDNKcd
89;Cacho a Cacho;Estopa;1999;https://open.spotify.com/intl-es/track/6VVBXRsXAuN5UvqKNw7j0l
90;Me Gustas Mucho;Rocío Dúrcal;1992;https://open.spotify.com/intl-es/track/2i7SlECYIAsT72FpLUU1Uj
91;Amor de Hombre;Mocedades;1992;https://open.spotify.com/intl-es/track/2XOuNjvWYgPmdtTwjQTd23
92;Solo Se Vive una Vez;Monica Naranjo;1994;https://open.spotify.com/intl-es/track/2e7mL0M7mvjYVANfWPUjCH
93;La Puerta de Alcalá;Ana Belén;1986;https://open.spotify.com/intl-es/track/29opVIw8I1BOZntEn3Un2I
94;Las Campanas del Amor;Monica Naranjo;1997;https://open.spotify.com/intl-es/track/6BOdOiwlrChSQkyO9CQnYQ
95;Te Estoy Queriendo Tanto;Siempre Asi;1997;https://open.spotify.com/intl-es/track/1Nr7Sj9d0dVZ6xJdvoS5yE
96;El del Medio de los Chichos;Estopa;1999;https://open.spotify.com/intl-es/track/4UMCpYrmgZv9CsyLvrws4F
97;Sarà perché ti amo;Ricchi E Poveri;1998;https://open.spotify.com/intl-es/track/7037bX3jdaUWUAXL12CHGy
98;Corazón Contento;Marisol;1968;https://open.spotify.com/intl-es/track/5r5hCjNjWdmQTHtHBZ7ghy
99;Estando Contigo;Marisol;1961;https://open.spotify.com/intl-es/track/1daUAcGgT52l7KevC8gw3p
100;Cerrado por Derribo;Joaquín Sabina;1999;https://open.spotify.com/intl-es/track/2LmQV8kR5L6ooO1hTokgwa
101;Marea;Marea;1999;https://open.spotify.com/intl-es/track/4TUYhTFCrUoJCONLmcZ3Zg
102;Cumpleaños Total;Los Planetas;1999;https://open.spotify.com/intl-es/track/5QJhfu8ajjVuJetRxw1B4K
103;Aprendiz;Malú;1998;https://open.spotify.com/intl-es/track/6IDgYT1p1n0M5kQVjLQozC
104;Bandido;Azucar Moreno;1990;https://open.spotify.com/intl-es/track/2rHhKu1hW8uqyr7LSrRn8E
105;Sabor, Sabor;Rosario;1992;https://open.spotify.com/intl-es/track/4zMJYmYSTZBNn1YdZVznSS
106;Punto De Partida;Rocío Jurado;2006;https://open.spotify.com/intl-es/track/75cWbqIqhfEfX8uOHlgWZV
107;Corazón de Tiza;Radio Futura;1984;https://open.spotify.com/intl-es/track/1qKxd0wZWIBR2D3dqFJbVD
108;Camino de la cama;Siniestro Total;1990;https://open.spotify.com/intl-es/track/4V9rNbT5b0TTZrGAEgteDi
109;Los Chicos Con las Chicas;Los Bravos;1998;https://open.spotify.com/intl-es/track/1k4kMMTPN5Yc0KdMxtMTuj
110;Salir;Extremoduro;1991;https://open.spotify.com/intl-es/track/4z2EeFUp5Lhai9qhHtA6IF
111;20 de abril;Celtas Cortos;1999;https://open.spotify.com/intl-es/track/7ifOnwJC0oH7cfbJQbUye1
112;Llamando a la tierra;M-Clan;1997;https://open.spotify.com/intl-es/track/7M65iLprqQ9UJNqer4g6AM
113;La flaca;Jarabe De Palo;1996;https://open.spotify.com/intl-es/track/1MrZ8hGkUWMmT816wPaMgE
114;A fuego lento;Rosana;1996;https://open.spotify.com/intl-es/track/7nK3q1GgJDxlWfCwtiLV5a
115;Noches de bohemia;Navajita Platea;1997;https://open.spotify.com/intl-es/track/1JpZMDDAkfhnrO6nXIQZ2g
116;Flaca;Andrés Calamaro;1997;https://open.spotify.com/intl-es/track/1p7m9H4H8s0Y7SgRm7j3ED
117;La Lola;Café Quijano;1998;https://open.spotify.com/intl-es/track/5hyq5k3Do9gW3HGvDg5ZEJ
118;El sitio de mi recreo;Antonio Vega;1998;https://open.spotify.com/intl-es/track/2tkMVjFwDzUCG3ulmz3fCb
119;Pajaros de Barro;Manolo Garcia;1995;https://open.spotify.com/intl-es/track/4B6ko7lt1sUtyFzBDF4yfK
120;Como un burro amarrado en la puerta del baile;El Último De La Fila;1993;https://open.spotify.com/intl-es/track/0IUFjvwlh18TWiTi6kO5pP
121;Por verte sonreír;La Fuga;1998;https://open.spotify.com/intl-es/track/6tGUkobti5ztrb9aQ0UDEx
122;A San Fernando un Ratito a Pie y Otro Caminando;Manolo Garcia;1998;https://open.spotify.com/intl-es/track/740Rh302Wm6uHRsYTa4KDQ
123;Grita;Jarabe De Palo;1996;https://open.spotify.com/intl-es/track/0wmYFlVkmGVUtfcY1r0SrP
124;Estoy Aquí;Shakira;1995;https://open.spotify.com/intl-es/track/4M1lEbqPzlEw1JYWB6aE7K
125;Entre dos tierras;Heroes Del Silencio;1990;https://open.spotify.com/intl-es/track/7BYqVvoXpQFhs4jJ0qqNZt
126;Vivo per lei;Andrea Bocelli;1995;https://open.spotify.com/intl-es/track/6cPLCU7hKjgjvLWzCevl7R
127;So payaso;Extremoduro;1996;https://open.spotify.com/intl-es/track/5HSpMRUC4m3L3q48to2Kmu
128;Rojitas las orejas;Fito y Fitipaldis;1998;https://open.spotify.com/intl-es/track/42R5irny7qThOYUThAL7VW
129;Mar antiguo;El Último De La Fila;1993;https://open.spotify.com/intl-es/track/3tduKvstqxOddo4CCq4FK1
130;Promesas que no valen nada;Los Piratas;1995;https://open.spotify.com/intl-es/track/37f6dBsGwi5V9OOXI1KYe7
131;El roce de tu cuerpo;Platero Y Tu;1992;https://open.spotify.com/intl-es/track/3EPd9riN2R8Zjl6GkrxxGl
132;Cosas de la Edad;Modestia Aparte;1990;https://open.spotify.com/intl-es/track/0wkQHjULGZeZC15hOl9jl4
133;Tu Calorro;Estopa;1999;https://open.spotify.com/intl-es/track/0DXI6c9tNWsI4tvUftkQN8
134;Te echaré de menos ;Los Piratas;1997;https://open.spotify.com/intl-es/track/2UNsLrBr6NXkIDtfMc4Vbw
135;Chiquilla;Seguridad Social;1991;https://open.spotify.com/intl-es/track/4eJikwHYHJ3yMg1tvS1Mom
136;Quedate a dormir;M-Clan;1999;https://open.spotify.com/intl-es/track/0UQitarNPDgB7ObJCj47kn
137;Como Te Mueves;Modestia Aparte;1991;https://open.spotify.com/intl-es/track/3eSxyGVZawSoh1JUEEoVDD
138;Por la Raja de Tu Falda;Estopa;1999;https://open.spotify.com/intl-es/track/5OaqffbeQyVVqtnA71Ci7K
139;Dolores se llamaba Lola;Los Suaves;1988;https://open.spotify.com/intl-es/track/5kQb5n1sMy5CmYTSoB5p6M
140;Papá Cuéntame Otra Vez;Ismael Serrano;1997;https://open.spotify.com/intl-es/track/5lg2cApHn9zCVkJcwou0iN
141;Una Rosa Es una Rosa;Mecano;1991;https://open.spotify.com/intl-es/track/4t4JJ0RG2KWhrTVdSrp7O9
142;En Blanco Y Negro;Barricada;1995;https://open.spotify.com/intl-es/track/0FJBWXOa9tYcJCxv1YxP9H
143;Tras la barra;Platero Y Tu;1993;https://open.spotify.com/intl-es/track/0fN93Sc6gJCkHbh9bqlLX7
144;Depende;Jarabe De Palo;1998;https://open.spotify.com/intl-es/track/6aaPUBUFw9KEW1p1inVQv9
145;Lagrimas De Amor;Camela;1994;https://open.spotify.com/intl-es/track/7wjQF9XTCrjvQZLeZBGMWs
146;Ya No Quiero Tu Querer;José El Francés;1993;https://open.spotify.com/intl-es/track/4ZWU1yATGjEQQz2FCnmX3b
147;Clavado en Un Bar;Maná;1997;https://open.spotify.com/intl-es/track/78DVpEWwmJFC25KGz8fJuE
148;Si es tan solo amor;Revolver;1993;https://open.spotify.com/intl-es/track/02MahX3ZEDqQI8akhisqOc
149;Hay poco rock'n'roll;Platero Y Tu;1994;https://open.spotify.com/intl-es/track/36j2mLDy4nPQRnvst4moR4
