Numero;Titulo;Artista;Año;Enlace;Enlace clean;Enlace ok
77;La Quiero A Morir;Manzanita;1987;spotify:track:0loxOLrtuQBxkqdoTKTIj2;0loxOLrtuQBxkqdoTKTIj2;https://open.spotify.com/intl-es/track/0loxOLrtuQBxkqdoTKTIj2
78;El Hombre del Piano;Ana Belén;1999;spotify:track:61ccRl3FBtLs3U5HuBtP6e;61ccRl3FBtLs3U5HuBtP6e;https://open.spotify.com/intl-es/track/61ccRl3FBtLs3U5HuBtP6e
79;Sorprendente;Leño;1994;spotify:track:6Xueg8DmwhkU4xf0Q3xlWN;6Xueg8DmwhkU4xf0Q3xlWN;https://open.spotify.com/intl-es/track/6Xueg8DmwhkU4xf0Q3xlWN
80;Olvídame y Pega la Vuelta;Pimpinela;1982;spotify:track:4FdwRmlzP5KGM7OewGBYiu;4FdwRmlzP5KGM7OewGBYiu;https://open.spotify.com/intl-es/track/4FdwRmlzP5KGM7OewGBYiu
81;Baron Rojo;Barón Rojo;1990;spotify:track:3ja1qnawwz4yqGETFEVLL0;3ja1qnawwz4yqGETFEVLL0;https://open.spotify.com/intl-es/track/3ja1qnawwz4yqGETFEVLL0
82;El Toro Guapo;El Fary;1982;spotify:track:6D3YqQ9dUA9LBOLw4CEUj1;6D3YqQ9dUA9LBOLw4CEUj1;https://open.spotify.com/intl-es/track/6D3YqQ9dUA9LBOLw4CEUj1
83;Amor Eterno;Rocío Dúrcal;1981;spotify:track:2TC4v9YiuQYk3Tk8RH7fV4;2TC4v9YiuQYk3Tk8RH7fV4;https://open.spotify.com/intl-es/track/2TC4v9YiuQYk3Tk8RH7fV4
84;Un Ramito de Violetas;Manzanita;1984;spotify:track:02PROe7elhI6Cyu6KJONhX;02PROe7elhI6Cyu6KJONhX;https://open.spotify.com/intl-es/track/02PROe7elhI6Cyu6KJONhX
85;Trátame Suavemente - Remasterizado 2007;Soda Stereo;1984;spotify:track:65DBZofI0b79kfHTcWWDuU;65DBZofI0b79kfHTcWWDuU;https://open.spotify.com/intl-es/track/65DBZofI0b79kfHTcWWDuU
86;Como una Ola;Rocío Jurado;1981;spotify:track:1gNXYvLc14OmqK6gSJKLUM;1gNXYvLc14OmqK6gSJKLUM;https://open.spotify.com/intl-es/track/1gNXYvLc14OmqK6gSJKLUM
87;Señora;Rocío Jurado;1984;spotify:track:6XSYNsvSOtDzmH3lFUJnQl;6XSYNsvSOtDzmH3lFUJnQl;https://open.spotify.com/intl-es/track/6XSYNsvSOtDzmH3lFUJnQl
88;Rock And Roll en la Plaza del Pueblo;Tequila;1999;spotify:track:5fCYRuYxc1ox7yWKcKD6tf;5fCYRuYxc1ox7yWKcKD6tf;https://open.spotify.com/intl-es/track/5fCYRuYxc1ox7yWKcKD6tf
89;Que Difícil Es Hacer El Amor En Un Simca 1000;Los Inhumanos;1988;spotify:track:5sh52OSkS9OoEBJSI2CVxr;5sh52OSkS9OoEBJSI2CVxr;https://open.spotify.com/intl-es/track/5sh52OSkS9OoEBJSI2CVxr
90;Escuela de Calor;Radio Futura;1984;spotify:track:7J0niAY0FLzGiCVJUREl88;7J0niAY0FLzGiCVJUREl88;https://open.spotify.com/intl-es/track/7J0niAY0FLzGiCVJUREl88
91;Asi Fue;Isabel Pantoja;1984;spotify:track:419FFiitGchOUaIMEY7Dqi;419FFiitGchOUaIMEY7Dqi;https://open.spotify.com/intl-es/track/419FFiitGchOUaIMEY7Dqi
92;Agradecido;Rosendo;1988;spotify:track:7F5AYZAPcNE9rIpCCHFEeh;7F5AYZAPcNE9rIpCCHFEeh;https://open.spotify.com/intl-es/track/7F5AYZAPcNE9rIpCCHFEeh
93;Volare (Nel Blu di Pinto di Blu);Gipsy Kings;1986;spotify:track:5QrHfu4q83HjcFcRi2WlS3;5QrHfu4q83HjcFcRi2WlS3;https://open.spotify.com/intl-es/track/5QrHfu4q83HjcFcRi2WlS3
94;Loco por Incordiar;Rosendo;1989;spotify:track:6VuRx5yyACleleSGXzkrqG;6VuRx5yyACleleSGXzkrqG;https://open.spotify.com/intl-es/track/6VuRx5yyACleleSGXzkrqG
95;Como Yo Te Amo - Remasterizado;Rocío Jurado;1997;spotify:track:3pBmaSZCoLF0drPRuf85O5;3pBmaSZCoLF0drPRuf85O5;https://open.spotify.com/intl-es/track/3pBmaSZCoLF0drPRuf85O5
96;Hoy Quiero Confesarme;Isabel Pantoja;1985;spotify:track:5wI6PpGIGw25jewhrbnxWG;5wI6PpGIGw25jewhrbnxWG;https://open.spotify.com/intl-es/track/5wI6PpGIGw25jewhrbnxWG
97;El Mundo Tras el Cristal;La Guardia;1985;spotify:track:1VHM7HjNxtZkApy2EabI4e;1VHM7HjNxtZkApy2EabI4e;https://open.spotify.com/intl-es/track/1VHM7HjNxtZkApy2EabI4e
98;La Cosa Mas Bella;Eros Ramazzotti;1996;spotify:track:1EZypwk0xcj64ZLAglhLs2;1EZypwk0xcj64ZLAglhLs2;https://open.spotify.com/intl-es/track/1EZypwk0xcj64ZLAglhLs2
99;Por Ella;José Manuel Soto;1988;spotify:track:3OLADK5y0rOTjyuQ6cPn7t;3OLADK5y0rOTjyuQ6cPn7t;https://open.spotify.com/intl-es/track/3OLADK5y0rOTjyuQ6cPn7t
100;Lija Y Terciopelo;Marea;1988;spotify:track:58psRexxWVZNbcUK5BU1d4;58psRexxWVZNbcUK5BU1d4;https://open.spotify.com/intl-es/track/58psRexxWVZNbcUK5BU1d4
101;Ese Hombre;Rocío Jurado;1987;spotify:track:47WTpJKUjZ4hxNECGMAVhS;47WTpJKUjZ4hxNECGMAVhS;https://open.spotify.com/intl-es/track/47WTpJKUjZ4hxNECGMAVhS
102;Libertad Sin Ira;Jarcha;1991;spotify:track:63ZPDjygXPMtqmpcoJUVk5;63ZPDjygXPMtqmpcoJUVk5;https://open.spotify.com/intl-es/track/63ZPDjygXPMtqmpcoJUVk5
103;All My Loving;Los Manolos;1991;spotify:track:2x3MxkdvKiWvLor7yNeLWB;2x3MxkdvKiWvLor7yNeLWB;https://open.spotify.com/intl-es/track/2x3MxkdvKiWvLor7yNeLWB
104;Escándalo;Raphael;1992;spotify:track:3xbymP6jIcdN0O2PB420bz;3xbymP6jIcdN0O2PB420bz;https://open.spotify.com/intl-es/track/3xbymP6jIcdN0O2PB420bz
105;Cuéntame al Oido;La Oreja de Van Gogh;1992;spotify:track:75QcWSFMIh8wkbGHdVQoju;75QcWSFMIh8wkbGHdVQoju;https://open.spotify.com/intl-es/track/75QcWSFMIh8wkbGHdVQoju
106;A Mi Manera (Comme D'Habitude);Gipsy Kings;1998;spotify:track:2RPNwpCcxVBhwhNUrJIiyG;2RPNwpCcxVBhwhNUrJIiyG;https://open.spotify.com/intl-es/track/2RPNwpCcxVBhwhNUrJIiyG
107;Garlochi;Isabel Pantoja;1982;spotify:track:6rVZRbWjALEyy1i6noyQ6j;6rVZRbWjALEyy1i6noyQ6j;https://open.spotify.com/intl-es/track/6rVZRbWjALEyy1i6noyQ6j
108;Alba;Antonio Flores;1992;spotify:track:6uojMoKuVkIVEeqH4JCBAr;6uojMoKuVkIVEeqH4JCBAr;https://open.spotify.com/intl-es/track/6uojMoKuVkIVEeqH4JCBAr
109;El Vals del Obrero;Ska-P;1994;spotify:track:4UjqoyfmarLo3Ub3LE19eC;4UjqoyfmarLo3Ub3LE19eC;https://open.spotify.com/intl-es/track/4UjqoyfmarLo3Ub3LE19eC
110;Pantera en Libertad;Monica Naranjo;1996;spotify:track:6BEhC3j62wIpe9m7zPL4Tx;6BEhC3j62wIpe9m7zPL4Tx;https://open.spotify.com/intl-es/track/6BEhC3j62wIpe9m7zPL4Tx
111;Vino Tinto;Estopa;2001;spotify:track:15m2Op4d1ZtX0ScPaDNKcd;15m2Op4d1ZtX0ScPaDNKcd;https://open.spotify.com/intl-es/track/15m2Op4d1ZtX0ScPaDNKcd
112;Cacho a Cacho;Estopa;1999;spotify:track:6VVBXRsXAuN5UvqKNw7j0l;6VVBXRsXAuN5UvqKNw7j0l;https://open.spotify.com/intl-es/track/6VVBXRsXAuN5UvqKNw7j0l
113;Me Gustas Mucho;Rocío Dúrcal;1992;spotify:track:2i7SlECYIAsT72FpLUU1Uj;2i7SlECYIAsT72FpLUU1Uj;https://open.spotify.com/intl-es/track/2i7SlECYIAsT72FpLUU1Uj
114;"Amor de Hombre (De ""La Leyenda del Beso"")";Mocedades;1992;spotify:track:2XOuNjvWYgPmdtTwjQTd23;2XOuNjvWYgPmdtTwjQTd23;https://open.spotify.com/intl-es/track/2XOuNjvWYgPmdtTwjQTd23
115;Solo Se Vive una Vez;Monica Naranjo;1994;spotify:track:2e7mL0M7mvjYVANfWPUjCH;2e7mL0M7mvjYVANfWPUjCH;https://open.spotify.com/intl-es/track/2e7mL0M7mvjYVANfWPUjCH
116;La Puerta de Alcalá;Ana Belén;1986;spotify:track:29opVIw8I1BOZntEn3Un2I;29opVIw8I1BOZntEn3Un2I;https://open.spotify.com/intl-es/track/29opVIw8I1BOZntEn3Un2I
117;Tocar Madera;Manolo Tena;1992;spotify:track:3Cdlb91oUTuN2hOVNdhfQT;3Cdlb91oUTuN2hOVNdhfQT;https://open.spotify.com/intl-es/track/3Cdlb91oUTuN2hOVNdhfQT
118;Las Campanas del Amor;Monica Naranjo;1997;spotify:track:6BOdOiwlrChSQkyO9CQnYQ;6BOdOiwlrChSQkyO9CQnYQ;https://open.spotify.com/intl-es/track/6BOdOiwlrChSQkyO9CQnYQ
119;Te Estoy Queriendo Tanto;Siempre Asi;1997;spotify:track:1Nr7Sj9d0dVZ6xJdvoS5yE;1Nr7Sj9d0dVZ6xJdvoS5yE;https://open.spotify.com/intl-es/track/1Nr7Sj9d0dVZ6xJdvoS5yE
120;El del Medio de los Chichos;Estopa;1999;spotify:track:4UMCpYrmgZv9CsyLvrws4F;4UMCpYrmgZv9CsyLvrws4F;https://open.spotify.com/intl-es/track/4UMCpYrmgZv9CsyLvrws4F
121;Sarà perché ti amo;Ricchi E Poveri;1998;spotify:track:7037bX3jdaUWUAXL12CHGy;7037bX3jdaUWUAXL12CHGy;https://open.spotify.com/intl-es/track/7037bX3jdaUWUAXL12CHGy
122;Corazón Contento;Marisol;1968;spotify:track:5r5hCjNjWdmQTHtHBZ7ghy;5r5hCjNjWdmQTHtHBZ7ghy;https://open.spotify.com/intl-es/track/5r5hCjNjWdmQTHtHBZ7ghy
123;Estando Contigo;Marisol;1961;spotify:track:1daUAcGgT52l7KevC8gw3p;1daUAcGgT52l7KevC8gw3p;https://open.spotify.com/intl-es/track/1daUAcGgT52l7KevC8gw3p
