Track URI;n;Track;Artist;Release Year
spotify:track:2XOuNjvWYgPmdtTwjQTd23;91;Amor de Hombre;Mocedades;1992
spotify:track:2e7mL0M7mvjYVANfWPUjCH;92;Solo Se Vive una Vez;Monica Naranjo;1994
spotify:track:29opVIw8I1BOZntEn3Un2I;93;La Puerta de Alcalá;Ana Belén;1986
spotify:track:6BOdOiwlrChSQkyO9CQnYQ;94;Las Campanas del Amor;Monica Naranjo;1997
spotify:track:1Nr7Sj9d0dVZ6xJdvoS5yE;95;Te Estoy Queriendo Tanto;Siempre Asi;1997
spotify:track:4UMCpYrmgZv9CsyLvrws4F;96;El del Medio de los Chichos;Estopa;1999
spotify:track:7037bX3jdaUWUAXL12CHGy;97;Sarà perché ti amo;Ricchi E Poveri;1998
spotify:track:5r5hCjNjWdmQTHtHBZ7ghy;98;Corazón Contento;Marisol;1968
spotify:track:1daUAcGgT52l7KevC8gw3p;99;Estando Contigo;Marisol;1961
spotify:track:2LmQV8kR5L6ooO1hTokgwa;100;Cerrado por Derribo;Joaquín Sabina;1999
spotify:track:4TUYhTFCrUoJCONLmcZ3Zg;101;Marea;Marea;1999
spotify:track:5QJhfu8ajjVuJetRxw1B4K;102;Cumpleaños Total;Los Planetas;1999
spotify:track:6IDgYT1p1n0M5kQVjLQozC;103;Aprendiz;Malú;1998
spotify:track:2rHhKu1hW8uqyr7LSrRn8E;104;Bandido;Azucar Moreno;1990
spotify:track:4zMJYmYSTZBNn1YdZVznSS;105;Sabor, Sabor;Rosario;1992
spotify:track:75cWbqIqhfEfX8uOHlgWZV;106;Punto De Partida;Rocío Jurado;2006
spotify:track:1qKxd0wZWIBR2D3dqFJbVD;107;Corazón de Tiza;Radio Futura;1984
spotify:track:4V9rNbT5b0TTZrGAEgteDi;108;Camino de la cama;Siniestro Total;1990
spotify:track:1k4kMMTPN5Yc0KdMxtMTuj;109;Los Chicos Con las Chicas;Los Bravos;1998
spotify:track:4z2EeFUp5Lhai9qhHtA6IF;110;Salir;Extremoduro;1991
spotify:track:7ifOnwJC0oH7cfbJQbUye1;111;20 de abril;Celtas Cortos;1999
spotify:track:7M65iLprqQ9UJNqer4g6AM;112;Llamando a la tierra;M-Clan;1997
spotify:track:1MrZ8hGkUWMmT816wPaMgE;113;La flaca;Jarabe De Palo;1996
spotify:track:7nK3q1GgJDxlWfCwtiLV5a;114;A fuego lento;Rosana;1996
spotify:track:1JpZMDDAkfhnrO6nXIQZ2g;115;Noches de bohemia;Navajita Platea;1997
spotify:track:1p7m9H4H8s0Y7SgRm7j3ED;116;Flaca;Andrés Calamaro;1997
spotify:track:5hyq5k3Do9gW3HGvDg5ZEJ;117;La Lola;Café Quijano;1998
spotify:track:2tkMVjFwDzUCG3ulmz3fCb;118;El sitio de mi recreo;Antonio Vega;1998
spotify:track:4B6ko7lt1sUtyFzBDF4yfK;119;Pajaros de Barro;Manolo Garcia;1995
spotify:track:0IUFjvwlh18TWiTi6kO5pP;120;Como un burro amarrado en la puerta del baile;El Último De La Fila;1993
spotify:track:6tGUkobti5ztrb9aQ0UDEx;121;Por verte sonreír;La Fuga;1998
spotify:track:740Rh302Wm6uHRsYTa4KDQ;122;A San Fernando un Ratito a Pie y Otro Caminando;Manolo Garcia;1998
spotify:track:0wmYFlVkmGVUtfcY1r0SrP;123;Grita;Jarabe De Palo;1996
spotify:track:4M1lEbqPzlEw1JYWB6aE7K;124;Estoy Aquí;Shakira;1995
spotify:track:7BYqVvoXpQFhs4jJ0qqNZt;125;Entre dos tierras;Heroes Del Silencio;1990
spotify:track:6cPLCU7hKjgjvLWzCevl7R;126;Vivo per lei;Andrea Bocelli;1995
spotify:track:5HSpMRUC4m3L3q48to2Kmu;127;So payaso;Extremoduro;1996
spotify:track:42R5irny7qThOYUThAL7VW;128;Rojitas las orejas;Fito y Fitipaldis;1998
