Track URI;n;Track;Artist;Release Year
spotify:track:5sh52OSkS9OoEBJSI2CVxr;89;Que Difícil Es Hacer El Amor En Un Simca 1000;Los Inhumanos;1988
spotify:track:7J0niAY0FLzGiCVJUREl88;90;Escuela de Calor;Radio Futura;1984
spotify:track:419FFiitGchOUaIMEY7Dqi;91;Asi Fue;Isabel Pantoja;1984
spotify:track:7F5AYZAPcNE9rIpCCHFEeh;92;Agradecido;Rosendo;1988
spotify:track:5QrHfu4q83HjcFcRi2WlS3;93;Volare (Nel Blu di Pinto di Blu);Gipsy Kings;1986
spotify:track:6VuRx5yyACleleSGXzkrqG;94;Loco por Incordiar;Rosendo;1989
spotify:track:3pBmaSZCoLF0drPRuf85O5;95;Como Yo Te Amo - Remasterizado;Rocío Jurado;1997
spotify:track:5wI6PpGIGw25jewhrbnxWG;96;Hoy Quiero Confesarme;Isabel Pantoja;1985
spotify:track:1VHM7HjNxtZkApy2EabI4e;97;El Mundo Tras el Cristal;La Guardia;1985
spotify:track:1EZypwk0xcj64ZLAglhLs2;98;La Cosa Mas Bella;Eros Ramazzotti;1996
spotify:track:3OLADK5y0rOTjyuQ6cPn7t;99;Por Ella;José Manuel Soto;1988
spotify:track:58psRexxWVZNbcUK5BU1d4;100;Lija Y Terciopelo;Marea;1988
spotify:track:47WTpJKUjZ4hxNECGMAVhS;101;Ese Hombre;Rocío Jurado;1987
spotify:track:63ZPDjygXPMtqmpcoJUVk5;102;Libertad Sin Ira;Jarcha;1991
spotify:track:2x3MxkdvKiWvLor7yNeLWB;103;All My Loving;Los Manolos;1991
spotify:track:3xbymP6jIcdN0O2PB420bz;104;Escándalo;Raphael;1992
spotify:track:75QcWSFMIh8wkbGHdVQoju;105;Cuéntame al Oido;La Oreja de Van Gogh;1992
spotify:track:2RPNwpCcxVBhwhNUrJIiyG;106;A Mi Manera (Comme D'Habitude);Gipsy Kings;1998
spotify:track:6rVZRbWjALEyy1i6noyQ6j;107;Garlochi;Isabel Pantoja;1982
spotify:track:6uojMoKuVkIVEeqH4JCBAr;108;Alba;Antonio Flores;1992
spotify:track:4UjqoyfmarLo3Ub3LE19eC;109;El Vals del Obrero;Ska-P;1994
spotify:track:6BEhC3j62wIpe9m7zPL4Tx;110;Pantera en Libertad;Monica Naranjo;1996
spotify:track:15m2Op4d1ZtX0ScPaDNKcd;111;Vino Tinto;Estopa;2001
spotify:track:6VVBXRsXAuN5UvqKNw7j0l;112;Cacho a Cacho;Estopa;1999
spotify:track:2i7SlECYIAsT72FpLUU1Uj;113;Me Gustas Mucho;Rocío Dúrcal;1992
spotify:track:2XOuNjvWYgPmdtTwjQTd23;114;"Amor de Hombre (De ""La Leyenda del Beso"")";Mocedades;1992
spotify:track:2e7mL0M7mvjYVANfWPUjCH;115;Solo Se Vive una Vez;Monica Naranjo;1994
spotify:track:29opVIw8I1BOZntEn3Un2I;116;La Puerta de Alcalá;Ana Belén;1986
spotify:track:3Cdlb91oUTuN2hOVNdhfQT;117;Tocar Madera;Manolo Tena;1992
spotify:track:6BOdOiwlrChSQkyO9CQnYQ;118;Las Campanas del Amor;Monica Naranjo;1997
spotify:track:1Nr7Sj9d0dVZ6xJdvoS5yE;119;Te Estoy Queriendo Tanto;Siempre Asi;1997
spotify:track:4UMCpYrmgZv9CsyLvrws4F;120;El del Medio de los Chichos;Estopa;1999
spotify:track:7037bX3jdaUWUAXL12CHGy;121;Sarà perché ti amo;Ricchi E Poveri;1998
spotify:track:5r5hCjNjWdmQTHtHBZ7ghy;122;Corazón Contento;Marisol;1968
spotify:track:1daUAcGgT52l7KevC8gw3p;123;Estando Contigo;Marisol;1961
spotify:track:2LmQV8kR5L6ooO1hTokgwa;124;Cerrado por Derribo;Joaquín Sabina;1999
spotify:track:0snvfum1KpU3X8DdAvV9bo;125;La Ultima Carta;Los Cucas;1999
