Track URI;n;Track;Artist;Release Year
spotify:track:0pxykF8n9AdVEjJo1TDews;124;Música para cerrar las discotecas - Versión vinilo 7 pulgadas;Doble Pletina;29/09/2011
spotify:track:0iVGyW5LOpETBBoxEaxJ7h;125;Alegrias Del Incendio;Los Planetas;09/07/2009
spotify:track:0IVCc0VlNsNbHN2oJXPTf0;126;Emborracharme;Lori Meyers;01/01/2013
spotify:track:29tVNOmg85qDLh2wVnJxpv;127;Allí donde solíamos gritar;Love of Lesbian;31/03/2009
spotify:track:6SqcZtMArO0QuhkZmvZ2yj;128;Valiente;Vetusta Morla;23/01/2008
spotify:track:5XtExIdM3JQai1Ub3nOX7E;129;Historia universal (El amor no es lo que piensas);Deluxe;11/03/2008
spotify:track:37f6dBsGwi5V9OOXI1KYe7;130;Promesas que no valen nada;Los Piratas;01/01/1995
spotify:track:29t3cccZkM7LkI4ssqZg6r;131;El pensamiento circular;Ivan Ferreiro;28/10/2016
spotify:track:72wNM7VYxTZ1PawCKzfTZx;132;La Mujer de Verde;IZAL;12/04/2012
spotify:track:4Fe8UM8MCSQa7vE73RPjSG;133;Dinamita;La Bien Querida;06/10/2017
spotify:track:1dU5WwKslqch2IkJWtbYcH;134;Pesadilla En El Parque De Atracciones;Los Planetas;01/03/2002
spotify:track:0sX9BYd9Rc8q1Pv98fTGue;135;Hasta Que Te Hartes;Julio de la Rosa;28/09/2010
spotify:track:5PhD7dB7pZYR9V3pjsRQmF;136;Punk;Lori Meyers;13/04/2021
spotify:track:6AAIPlXYlknDc84lBWF2bW;137;Años luz;Andrea Santiago;16/01/2025
spotify:track:2WGlEqMHeZfsMpOBXVfBtK;138;Salto Cuántico;Morning Drivers;31/01/2020
spotify:track:68PEuXNjodWFts3Ph4BPVv;139;Exoplaneta;Arde Bogotá;07/05/2021
spotify:track:7mZmMF0uTsMRrDFR8uByDb;140;Strokes;Karavana;24/03/2020
spotify:track:22YU7QYjywrHvnoIweXvHN;141;Por si;Miss Caffeina;27/10/2021
spotify:track:49oXVC8j4hXWMeELUtvmq1;142;Hogar;IZAL;29/10/2021
spotify:track:2t14bwT3y8AiU5JD9Wuhrh;143;No canto yo;La Maravillosa Orquesta del Alcohol;
spotify:track:7ERJ9dMLqkLjRFWztoJr47;144;Canción de Mierda;ALIS;12/11/2021
