Track URI;n;Track;Artist;Release Year
spotify:track:1Wyl29huFJnJApMmxN7xPS;101;Con la Primavera;Marismeños;2005
spotify:track:4OjJAGDDZTLlTNeOMBl7UM;102;Volare (Nel Blu di Pinto di Blu);Gipsy Kings;01/05/1989
spotify:track:3ROd8cCRdRJpeh6P2zTAJk;103;Me Quedo Contigo;Los Chunguitos;1991
spotify:track:2vh3jeYAeR50YuigR7mGwo;104;Estar enamorado;Raphael;06/01/1981
spotify:track:3ZFYnK3yePXgrGxBTXsPww;105;Perdóname;Camilo Sesto;02/01/1982
spotify:track:0loxOLrtuQBxkqdoTKTIj2;106;La Quiero A Morir;Manzanita;1980
spotify:track:6kQYMqjobmB8MkWwa9OUyA;107;Amiga mía;Alejandro Sanz;1997
spotify:track:3UIENhLRdFIOuRan92cAQu;108;En algún lugar;Duncan Dhu;17/01/1987
spotify:track:2UC0OxMpQeSYft4pRswyEX;109;Sabor de amor;Danza Invisible;01/01/1989
spotify:track:5xsY1Bm1FItKFFoJ3b964t;110;Me Cuesta Tanto Olvidarte;Mecano;16/06/1986
