Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1W1W8tbiT4HZ35y03bFgGz,"Titubeas","Nada Como el Hogar EP","Pauline En La Playa",1999-01-01,201413,0,false,ordago13,2016-08-03T09:56:39Z,"","Subterfuge Records",0.737,0.698,7,-7.039,1,0.029,0.112,0.00193,0.149,0.712,123.692,4
spotify:track:7ieVxdlZJXDyjk266cqYSR,"Parfait","El Hombre Boligrafo","Grises",2011-06-20,219653,0,false,ordago13,2016-08-08T10:32:26Z,"","Origami",0.553,0.867,8,-3.435,1,0.0288,0.000269,0.0000156,0.0998,0.456,132.033,4
spotify:track:5y6mjjvCkC4XnT1xF6wYbF,"Bailando","Mi Fracaso Personal","Astrud",1999,155040,30,false,ordago13,2016-08-08T10:33:15Z,"","Parlophone Spain",0.655,0.856,10,-7.127,0,0.0524,0.0139,0.00604,0.263,0.805,133.069,4
spotify:track:6yvvbvmSZkdWWlZAA31mAV,"En un mundo tan pequeño","1995 - 2005","Mercromina",2006-01-01,180106,0,false,ordago13,2016-08-08T10:34:22Z,"","Subterfuge Records",0.394,0.748,0,-8.921,1,0.0368,0.0373,0.0274,0.0966,0.673,135.417,4
spotify:track:1k6HHaQZ60ZHANCmnkKhlt,"Crime","Till It Breaks","Najwajean",2008-04-01,205973,22,false,ordago13,2016-08-03T10:10:02Z,"trip hop","Parlophone Spain",0.625,0.426,11,-9.558,1,0.0432,0.674,0.000589,0.111,0.202,90.081,4
spotify:track:29f4xfvpMvRVvMUDhKF183,"Pacífico","Pacífico","The Noises",2014-04-22,250560,24,false,ordago13,2016-08-03T09:49:58Z,"","WM Spain",0.611,0.71,5,-5.611,1,0.0289,0.609,0.00000644,0.555,0.529,135.997,4
spotify:track:2d8rMXLisKNWjKWe9cC4BE,"Hands","Heavenly Hell","L.A.",2009-01-01,195640,0,false,ordago13,2016-08-08T10:37:02Z,"","Universal Music Group",0.631,0.738,0,-3.778,0,0.0293,0.00453,0.00000133,0.0975,0.534,126.01,4
spotify:track:5Zf23W8UCf13bYPhUOKhvH,"Stupid Girl","Vudú","Undershakers",1998-07-07,98293,0,false,ordago13,2016-08-08T10:37:21Z,"indie latino","Subterfuge Records",0.621,0.941,4,-4.412,1,0.0316,0.0407,0,0.262,0.982,120.122,4
spotify:track:2dVmFUKPGVP7c1Y53l5R25,"The First Girl Who Got a Kiss Without a Please","We Are Standard","We Are Standard",2008-11-04,218800,0,false,ordago13,2016-08-08T10:37:37Z,"","Mushroom Pillow",0.641,0.932,0,-3.275,1,0.0579,0.00165,0.0013,0.0263,0.959,124,4
spotify:track:5IVjKpgg3MkXEKPl8LxgIz,"Incursiones","Imperfección","Havalina",2009-04-01,184826,24,false,ordago13,2016-08-08T10:39:21Z,"","Origami Records",0.618,0.633,10,-5.259,1,0.056,0.0181,0.000417,0.0721,0.733,106.019,4
spotify:track:7y0VyQJ6r4sfTIpZ3s9S14,"Una Llamada a La Acción","Presidente","Sr. Chinarro",2011-04-04,153120,0,false,ordago13,2016-08-08T10:39:34Z,"","Mushroom Pillow",0.562,0.794,6,-4.058,0,0.0306,0.178,0,0.144,0.896,134.946,4
spotify:track:2NIkKE394s0N9WDjts0GEU,"El dormilón","Val Miñor - Madrid: Historía y cronología del mundo","Ivan Ferreiro",2013-09-24,268146,45,false,ordago13,2016-08-08T10:41:07Z,"indie","WM Spain",0.469,0.81,2,-5.713,1,0.0594,0.0282,0.0000015,0.139,0.344,134.038,4
