Track URI;n;Track;Artist;Release Year
spotify:track:11r3AB4TLCjk1XvHd4ydIO;97;Niña del Aire;Demarco Flamenco;03/03/2017
spotify:track:42oa90Z5a2XXWPJFGfFBig;98;Lo Que Me Gusta de Ti;Los Rebujitos;20/05/2016
spotify:track:2k417u6r4XWffc6CqzBHxB;99;Q, Tal;Fondo Flamenco;08/12/2008
spotify:track:6qIR1Q7oVcTl93O5xocuLd;100;Gitana;Manzanita;1978
spotify:track:02PROe7elhI6Cyu6KJONhX;101;Un Ramito de Violetas;Manzanita;1981
spotify:track:2VSGzQqy9nqJefcYGJNWst;102;Tanto la Queria;Andy & Lucas;01/01/2001
spotify:track:4Wmp6bPu19nOhQrTGUO1PZ;103;Quiero Ser;Sarayma;
spotify:track:02KzSuRKrfCNvz7rlN8Es4;104;Entre Tus Brazos;Sarayma;24/02/2015
spotify:track:71gyAtc84DBBI0oAHnGmPM;105;Celos;Junco;01/01/2014
spotify:track:4oiS5vxhk7uD4Yzr6Uf46r;106;De Boca en Boca;Niña Pastori;07/03/2002
spotify:track:4B6ko7lt1sUtyFzBDF4yfK;107;Pajaros de Barro;Manolo Garcia;14/11/1998
spotify:track:3Rfsr2LjtBSnauDOA6XOD9;108;Puede Ser;Niña Pastori;20/05/2016
spotify:track:0hGimYHmT1pttWUJF76L3J;109;Son Ilusiones;Los Chichos;1996
spotify:track:0DbxsVb7QNeRfyPbDFN4xe;110;Rosa María - Tangos;Camaron De La Isla;
spotify:track:0UPa56v0oHyXm8HtEKkHdO;111;Azahara;Galvan Real;16/09/2019
spotify:track:06Ke9F6uDCPCRlryHzBegD;112;La Luna;Galvan Real;21/11/2019
spotify:track:32SaRYYxS7SXjNNvIY9VBE;113;Alegría de Vivir;Ray Heredia;31/01/1991
spotify:track:2AQ5hqdrS6qS81R6nHgLw4;114;Envuelto en llamas;Marta Santos;03/06/2022
spotify:track:69billX7itLzkgWjqWSFFn;115;FUE;Manuel Carrasco;24/11/2022
spotify:track:5ticDLxAM5Y5r0mkGO1AHs;116;Que Me Lleve el Aire;Luis Cortés;16/07/2024
spotify:track:3CoEhB6cXUK1dUYhRD5sYr;117;Sin Ti, Sin Mí;Luis Cortés;15/03/2024
spotify:track:48gfUjITHQLHuRnnNVNUzJ;118;AL ALBA;Luis Cortés;26/04/2024
spotify:track:7DNygCmPTKR0XkyKC3XmPa;119;Me la Llevo;Javi Medina;
spotify:track:5GmmngRxLdmYgU69JSqALs;120;Contigo por Delante;Juanlu Montoya;10/11/2023
spotify:track:2qKSmJppHxdzidqeVSvHJk;121;ME DUELE QUERERTE;Luis Cortés;26/04/2024
spotify:track:1zgb3QCX8jo4IGRg56tjvj;122;La Vida Entera;Marta Santos;12/04/2024
spotify:track:7GWd0DCMkcWr0dHC9MHsVI;123;Hoja en Blanco - Versión flamenca;Luis Cortés;18/02/2022
spotify:track:3IT1XT70SguZjuUiKiUu89;124;Mala Vida;Luis Cortés;19/02/2021
spotify:track:2NCV1TFdZzFAdWsvk2zhpf;125;Mi Varadero;Salistre;21/07/2023
spotify:track:13pprEm50hAgf5aIGu9xuq;126;Acariciandote;Fondo Flamenco;2007
spotify:track:0VvKhRZQRdNnolSSkHVgPh;127;Bonito;Demarco Flamenco;05/07/2024
spotify:track:4NT04eCDS832uUBd0vCCYI;128;El Legía;Los Moles;01/01/2004
spotify:track:03951n3jw58XUgM5AvSWnT;129;Borracho & Loco;Keen Levy;05/07/2019
spotify:track:56802JWqiqWBRZVfr8Jp9f;130;Princesa - 2022;Fondo Flamenco;27/10/2022
spotify:track:1PiNBcONeudspVcLjTRGTN;131;Arrebato de Amor;Juanlu Montoya;10/07/2020
spotify:track:0TzLYdOfR2fAnmDDVTSjOX;132;Volver a ser Romeo (feat. Galvan Real);Maki;
spotify:track:7iEEJBIZraXurV2hFLVHFi;133;Dos Días;Fondo Flamenco;13/04/2023
spotify:track:1x6MOPcwUC5xEQNC7ua23r;134;A La Calle;El Duende Callejero;16/07/2020
spotify:track:33y7JJ2plod4P5To7ZmMhU;135;Pena;Luis Cortés;
spotify:track:12E3CkcfmRymdglKv9f4d6;136;Me Sabe a Sal;Marta Santos;05/10/2023
spotify:track:5ZmlOojMpUlyprMRFA93wc;137;Lo Siento;Alberto Sastre;10/11/2015
spotify:track:4osv4KfVkLj4jpTqYT8eku;138;Como Antes;Nani Cortés;
spotify:track:4N9xuNWEUTtRtNk989R7Ux;139;Tirándote Flores;El Duende Callejero;28/04/2022
spotify:track:1yDFOTO07GUPvGaj3GVff1;140;Mi Canastera;Canelita;01/01/2004
spotify:track:1qhnQ8Uu3uf15Izj4OTxpG;141;Lola;Canelita;07/11/2010
spotify:track:3fIgdKNToq77I0MulmLXfq;142;Sale el Sol en el Bajo A;Javi Medina;
spotify:track:6JluHeW26QJEjXtpl7GCqi;143;Bailarás Con Alegría;Los Chichos;01/01/1981
spotify:track:3HzQqkXLsEvt7rBUondOIq;144;Ojalá;Fondo Flamenco;15/10/2007
