Track URI;Track;Artist;Release Year
spotify:track:3yzHIAzk3zVE1WgspS8W21;Vivir Así Es Morir de Amor;Camilo Sesto;1978
spotify:track:7Eb5AYiiGWItBNddlmxvnh;A quién le importa;Alaska Y Dinarama;1986
spotify:track:6Tnnk7MAnZiDx67DJN2hnx;Mi gran noche;Raphael;1967
spotify:track:1eRgClFGphd2MgpyIBsbfS;¡Chas! Y aparezco a tu lado;Alex Y Christina;1988
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;Eva Maria;Formula V;1985
spotify:track:6dC0U0ZJrmSw05sdnjDpGJ;Enamorado de la moda juvenil;Radio Futura;1980
spotify:track:4YYd1oPidpG7rVu4OLjPG7;Viaje con nosotros;Orquesta Mondragon;1980
spotify:track:4oHDiaCilM1xWIr55LjxO0;Hoy No Me Puedo Levantar;Mecano;1982
spotify:track:2yNkRWz9x7x3halzGPnYqn;Don Diablo;Miguel Bosé;1977
spotify:track:09uE7kHv2ESkvtInKugpGM;Yo no te pido la luna (Non voglio mica la luna);Daniela Romo;1984
spotify:track:7zteNrLJJwjGa8e2IodVOp;Me Colé en una Fiesta;Mecano;1982
spotify:track:0OteyYh6inrfcil1XGwC3r;Bailando;Alaska Y Los Pegamoides;1982
spotify:track:5QfmCmdL4qnzqMz5Z0gvzV;Te Estoy Amando Locamente;Las Grecas;1974
spotify:track:3GHgLIY5drnms1MPKcMlmi;Cadillac solitario - Live;Loquillo Y Los Trogloditas;1989
spotify:track:70cJ9SnduQ8wmx2gYvCnss;Hormigón, mujeres y alcohol - Directo;;1984
spotify:track:6ZcL1hCAnEgz3MxP3xdFYe;Cara de Gitana;Daniel Magal;1978
spotify:track:29OKK8URiORBpRsimvzsmm;Adiós papá;Los Ronaldos;1988
spotify:track:36PL1fiYUnX7pJQRY1qwVw;Bailaré sobre tu tumba;Siniestro Total;1985
spotify:track:5d0M8iFSNn4fonHyRT8yeq;El Pistolero;Pistones;1983
spotify:track:0NFcUhw2uKzX0zqH81tWOu;El Limite;La Frontera;1989
spotify:track:7kCiAaismDVaCjpyGF3YJB;Maneras de Vivir (Single Estudio);Leño;1997
spotify:track:3RDMd9JiKdVik8zjGhZ0wJ;Veneno en la Piel;Radio Futura;1984
spotify:track:1KH2PcBCAaHRL6F5ZZgY1S;No Mires a los Ojos de la Gente;Golpes Bajos;1983
spotify:track:3f2k0XTc2ZXG17jEMDu8pp;Quiero tener tu presencia;Seguridad Social;1993
spotify:track:3JOXwHPhtdRU3kYKcf64Gj;Pero a tu lado;Los Secretos;1995
spotify:track:5juAYZUZPMEWJlzwoa9nOO;Un rayo de sol (Fernando) - 2015 Remastered Version;Los Diablos;2000
spotify:track:0UUJju7jtTViPCdauXKVZ1;¿Y cómo es él?;José Luis Perales;1984
spotify:track:3JclUL96MU6SWZCPb1wzih;Digan lo que digan;Raphael;1967
spotify:track:2H6pXO5yKat03sbr1ERzZv;Noelia;Nino Bravo;1975
spotify:track:2UC0OxMpQeSYft4pRswyEX;Sabor de amor;Danza Invisible;1976
spotify:track:0ATzislS5SvAp69hjHczej;Solo Se Vive una Vez;Azucar Moreno;1989
spotify:track:6G5GbFe5jWUWqZ3WmXiew5;"Follow the Leader ""Sigue al lider""";Sol Habana;1991
spotify:track:1eCie6lwjb4crxeAvkRaSi;Y Nos Dieron las Diez;Joaquín Sabina;1983
spotify:track:1hj6nYHeGclSY0VNTHMi27;Amante Bandido;Miguel Bosé;1988
spotify:track:0M2tanh26PWePnaGVV3h3y;Salta!!!;Tequila;1992
spotify:track:4Kii4OhkRIezu0KjOiFq0G;19 Dias y 500 Noches;Joaquín Sabina;1998
spotify:track:6QBLmxP1tU6lw1dhKQulau;Mediterraneo;Los Rebeldes;1990
spotify:track:1gh0aMZmO6o30LS12lEJWQ;Siete Vidas;Antonio Flores;1984
spotify:track:5sfy5t9U4Uhp6jPKvq2muQ;Penelope;Joan Manuel Serrat;1986
spotify:track:7Lgarpf1OqaXsUTjKZ34mK;Me Falta el Aliento;Estopa;1994
spotify:track:2oI6d7XcMz1AMTQhDopV5J;Resistiré;Duo Dinamico;1998
spotify:track:4aNYsOVFqueCQrDeluqp0H;El 28;La Oreja de Van Gogh;1993
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;Macarena;Los Del Rio;1980
spotify:track:7pjtYZml30McGVL6Lk5bMh;La Carretera;Julio Iglesias;1999
spotify:track:0DjSa6czo5ywsf6iCtZW5A;Cannabis;Ska-P;1995
spotify:track:6oytv9amMEx3pxSw9UmEtv;El Gato Lopez;Ska-P;1992
spotify:track:3uczGVEmktxNt15VoBALL6;Fiesta;Joan Manuel Serrat;1992
spotify:track:0fmASfcJJ6N8hTvGTa8Hhi;Carbón y Ramas Secas;Manolo Garcia;1996
spotify:track:3qzVJh6INW1CzSDVR9MRgS;Bamboléo;Gipsy Kings;1997
spotify:track:2hfv8QRES8BwT49kO0Hhmd;Bajo la Luz de la Luna;Los Rebeldes;1998
spotify:track:1suKCYjsR9rZKnFYM5uK1k;No Controles;Ole Ole;1980
spotify:track:0loxOLrtuQBxkqdoTKTIj2;La Quiero A Morir;Manzanita;1987
spotify:track:61ccRl3FBtLs3U5HuBtP6e;El Hombre del Piano;Ana Belén;1999
spotify:track:7gD2QkknRa4ZvlRVyU6ZO0;No Dudaria;Antonio Flores;1998
spotify:track:6Xueg8DmwhkU4xf0Q3xlWN;Sorprendente;Leño;1994
spotify:track:4FdwRmlzP5KGM7OewGBYiu;Olvídame y Pega la Vuelta;Pimpinela;1982
spotify:track:3ja1qnawwz4yqGETFEVLL0;Baron Rojo;Barón Rojo;1990
spotify:track:6D3YqQ9dUA9LBOLw4CEUj1;El Toro Guapo;El Fary;1982
spotify:track:2TC4v9YiuQYk3Tk8RH7fV4;Amor Eterno;Rocío Dúrcal;1981
spotify:track:02PROe7elhI6Cyu6KJONhX;Un Ramito de Violetas;Manzanita;1984
spotify:track:65DBZofI0b79kfHTcWWDuU;Trátame Suavemente - Remasterizado 2007;Soda Stereo;1984
spotify:track:1gNXYvLc14OmqK6gSJKLUM;Como una Ola;Rocío Jurado;1981
spotify:track:6XSYNsvSOtDzmH3lFUJnQl;Señora;Rocío Jurado;1984
spotify:track:5fCYRuYxc1ox7yWKcKD6tf;Rock And Roll en la Plaza del Pueblo;Tequila;1999
spotify:track:5sh52OSkS9OoEBJSI2CVxr;Que Difícil Es Hacer El Amor En Un Simca 1000;Los Inhumanos;1984
spotify:track:7J0niAY0FLzGiCVJUREl88;Escuela de Calor;Radio Futura;1978
spotify:track:419FFiitGchOUaIMEY7Dqi;Asi Fue;Isabel Pantoja;1984
spotify:track:7F5AYZAPcNE9rIpCCHFEeh;Agradecido;Rosendo;1988
spotify:track:5QrHfu4q83HjcFcRi2WlS3;Volare (Nel Blu di Pinto di Blu);Gipsy Kings;1986
spotify:track:2a7Ufmq13NRMavrBYUN5Ex;Desátame;Monica Naranjo;1986
spotify:track:6VuRx5yyACleleSGXzkrqG;Loco por Incordiar;Rosendo;1989
spotify:track:3pBmaSZCoLF0drPRuf85O5;Como Yo Te Amo - Remasterizado;Rocío Jurado;1997
spotify:track:5wI6PpGIGw25jewhrbnxWG;Hoy Quiero Confesarme;Isabel Pantoja;1985
spotify:track:1VHM7HjNxtZkApy2EabI4e;El Mundo Tras el Cristal;La Guardia;1985
spotify:track:4oCGALJSQZxLnsnPPgShln;Veneno en la Piel;Radio Futura;1985
spotify:track:1EZypwk0xcj64ZLAglhLs2;La Cosa Mas Bella;Eros Ramazzotti;1990
spotify:track:2c4lkvFscid22nr32FByC4;Mil Calles Llevan Hacia Ti;La Guardia;1996
spotify:track:0aIO4vndXigQGEo3hbIkhq;Me Duele La Cara De Ser Tan Guapo;Los Inhumanos;1988
spotify:track:3OLADK5y0rOTjyuQ6cPn7t;Por Ella;José Manuel Soto;1988
spotify:track:58psRexxWVZNbcUK5BU1d4;Lija Y Terciopelo;Marea;1988
spotify:track:47WTpJKUjZ4hxNECGMAVhS;Ese Hombre;Rocío Jurado;1987
spotify:track:63ZPDjygXPMtqmpcoJUVk5;Libertad Sin Ira;Jarcha;1991
spotify:track:2x3MxkdvKiWvLor7yNeLWB;All My Loving;Los Manolos;1991
spotify:track:3xbymP6jIcdN0O2PB420bz;Escándalo;Raphael;1992
spotify:track:75QcWSFMIh8wkbGHdVQoju;Cuéntame al Oido;La Oreja de Van Gogh;1992
spotify:track:2RPNwpCcxVBhwhNUrJIiyG;A Mi Manera (Comme D'Habitude);Gipsy Kings;1998
spotify:track:5OaqffbeQyVVqtnA71Ci7K;Por la Raja de Tu Falda;Estopa;1987
spotify:track:6rVZRbWjALEyy1i6noyQ6j;Garlochi;Isabel Pantoja;1982
spotify:track:6uojMoKuVkIVEeqH4JCBAr;Alba;Antonio Flores;1992
spotify:track:4UjqoyfmarLo3Ub3LE19eC;El Vals del Obrero;Ska-P;1994
spotify:track:6BEhC3j62wIpe9m7zPL4Tx;Pantera en Libertad;Monica Naranjo;1996
spotify:track:15m2Op4d1ZtX0ScPaDNKcd;Vino Tinto;Estopa;1997
spotify:track:6VVBXRsXAuN5UvqKNw7j0l;Cacho a Cacho;Estopa;1995
spotify:track:2i7SlECYIAsT72FpLUU1Uj;Me Gustas Mucho;Rocío Dúrcal;1992
spotify:track:2XOuNjvWYgPmdtTwjQTd23;"Amor de Hombre (De ""La Leyenda del Beso"")";Mocedades;1992
spotify:track:7aOFPde65u12EJmh1dr7uL;La Gata Bajo la Lluvia;Rocío Dúrcal;2000
spotify:track:2e7mL0M7mvjYVANfWPUjCH;Solo Se Vive una Vez;Monica Naranjo;1994
spotify:track:29opVIw8I1BOZntEn3Un2I;La Puerta de Alcalá;Ana Belén;1986
spotify:track:3Cdlb91oUTuN2hOVNdhfQT;Tocar Madera;Manolo Tena;1992
spotify:track:6BOdOiwlrChSQkyO9CQnYQ;Las Campanas del Amor;Monica Naranjo;1997
spotify:track:1Nr7Sj9d0dVZ6xJdvoS5yE;Te Estoy Queriendo Tanto;Siempre Asi;1997
spotify:track:4UMCpYrmgZv9CsyLvrws4F;El del Medio de los Chichos;Estopa;1999
spotify:track:7037bX3jdaUWUAXL12CHGy;Sarà perché ti amo;Ricchi E Poveri;1998
spotify:track:5r5hCjNjWdmQTHtHBZ7ghy;Corazón Contento;Marisol;1968
;Estando Contigo;Marisol;1961
spotify:track:2LmQV8kR5L6ooO1hTokgwa;Cerrado por Derribo;Joaquín Sabina;1999
spotify:track:2nlqpnAzHv9Xevin3kEAk3;Solo Le Pido a Dios - En Directo;Antonio Flores;1994
spotify:track:0snvfum1KpU3X8DdAvV9bo;La Ultima Carta;Los Cucas;1999
spotify:track:4TUYhTFCrUoJCONLmcZ3Zg;Marea;Marea;1999
spotify:track:5QJhfu8ajjVuJetRxw1B4K;Cumpleaños Total;Los Planetas;1999
spotify:track:6IDgYT1p1n0M5kQVjLQozC;Aprendiz;Malú;1998
spotify:track:2rHhKu1hW8uqyr7LSrRn8E;Bandido;Azucar Moreno;1990
spotify:track:4zMJYmYSTZBNn1YdZVznSS;Sabor, Sabor;Rosario;1992
spotify:track:75cWbqIqhfEfX8uOHlgWZV;Punto De Partida (with Monica Naranjo);Rocío Jurado;2006
