Track URI;Track;Artist;Release year
spotify:track:7A6vqBPkt4rbwXsKhrl7B1;París;Dani Martín;2016
spotify:track:5GGUa4ms6gjj9gvPl6kl3r;Lady Madrid;Pereza;2009
spotify:track:0LeJMPgBIlWMxdRtjF7Qj1;Sueños Rotos;La Quinta Estacion;2006
spotify:track:7BlBVFwvbWvcwNcUarQmjk;Yo x Ti, Tu x Mi;ROSALÍA;2019
spotify:track:5NV19rJlAYrAAFXQTZVC55;Estrella Polar (with Juan Aguirre);Pereza;2007
spotify:track:709CndJJB3GTUhQD0LLFse;Torero;Chayanne;2002
spotify:track:5GwSE4jH72NzlLRAWuwRqL;Rosa de Alejandría;Manolo Garcia;2004
spotify:track:5RJRcCng40cAECYiXkOM6Z;No Voy a Cambiar;Malú;2006
spotify:track:7DM4BPaS7uofFul3ywMe46;Vente Pa' Ca (feat. Maluma);Ricky Martin;2016
spotify:track:6b230QKlluW1wgkexEAjBa;La Mentira (feat. Joaquín Sabina);Dani Martín;2020
spotify:track:2vcj4d4TpiyWqMbdRu4j6u;Es por Ti;Cómplices;1990
spotify:track:6ye25NazQfUWrCTdCH3cXX;Fuego;Estopa;2019
spotify:track:6djqlcjQPGhxuZ6HERSgWw;No Dudaria;Antonio Flores;1980
spotify:track:6XZFGX36EFljIGj7p2Ht6l;Cai;Niña Pastori;2000
spotify:track:5NO0xkDUbMDeBUKr4CVJOX;El Universo Sobre Mi - En Directo;Amaral;2017
spotify:track:7z9IbN0D245JG5iokzkbDk;Ahora Tu;Malú;2010
spotify:track:42ZASSKlh3UtYCgwZb8lBS;La Puerta Violeta;Rozalén;2017
spotify:track:2LsbizbOeNa4x6qsi2jAMb;La flaca;Jarabe De Palo;1996
spotify:track:72wP8pJImrhxGA6f6F91gk;Fan de Ti;Sidecars;2010
spotify:track:3eoZdfIaTawNFYSBuLdlTG;Buscando El Sol;David Otero;2011
spotify:track:6y63IkVtjr2RnPVvK8BqEj;Paraíso;Dvicio;2014
spotify:track:1VB4sadHjFcFklHcZuoROi;Como Camarón;Estopa;1999
spotify:track:6uojMoKuVkIVEeqH4JCBAr;Alba;Antonio Flores;1994
spotify:track:4EDfdYJ7mqXRoWAqzF1PVO;Ojos Así;Shakira;1998
spotify:track:4B6ko7lt1sUtyFzBDF4yfK;Pajaros de Barro;Manolo Garcia;1998
spotify:track:1hbWtHgRDG25DkmxE4I28V;Puedes Contar Conmigo;La Oreja de Van Gogh;2002
spotify:track:5DCBEzZM5rSVWZBYWKknv4;Contigo;El Canto Del Loco;2002
spotify:track:1YtZ6sHC4TalQbK4c37bqJ;Muñeca de Trapo;La Oreja de Van Gogh;2007
spotify:track:6FstWkgRdHagqJ6qjDbiK0;Insoportable;El Canto Del Loco;2005
spotify:track:09QG9D1BI4TRvGq64NghRg;Todo;Pereza;2005
spotify:track:5zOAudPQIs5U8zP6LQGHmH;MALAMENTE - Cap.1: Augurio;ROSALÍA;2018
spotify:track:2fF6Kma5cZBvDCyEKq30tb;A Prueba de Ti;Malú;2013
spotify:track:6XPOXobXwTz9Bh8p9u0QXW;Los Charcos;Dani Martín;2016
spotify:track:0JbxyoJVB8NRaibf8hwxLA;Vivir Así Es Morir de Amor - Original Disco Mix;Camilo Sesto;1978
spotify:track:5y4g8rBf30P8Tc0pibVUnX;Hijos de un Mismo Dios;Macaco;2015
spotify:track:1gkBsKxTpVHIn1nLf05CUo;Peter Pan;El Canto Del Loco;2008
