Track;URI;Track;Name;Album;Name;Artist;Name(s);Release;Date;Duration;(ms);Popularity;Explicit;Added;By;Added;At;Genres;Record;Label;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time;Signature
spotify:track:6TxEkOU9Sqa1uI736FiCbC;The Speak Up Mambo (CUENTAME);The Manhattan Transfer Anthology - Down In Birdland;The Manhattan Transfer;1992;180960;0;FALSE;majosegarcia;2016-08-28T15:37:26Z;vocal jazz;Concord Music Group;0.784;0.713;5;-5.713;0;0.0341;0.709;0.00000177;0.11;0.918;128.736;4;;;;;;;;;;
spotify:track:1PseJZ9Iay7mpeonyxPBn3;Agapimu;Los Grandes Exitos... Y Mas;Ana Belén;21/10/2008;211546;21;FALSE;majosegarcia;2016-08-28T15:41:17Z;trova,nueva trova,cantautores,bolero;Columbia;0.544;0.916;8;-5.358;1;0.216;0.336;0.000036;0.0837;0.892;172.057;3;;;;;;;;;;
spotify:track:1meKjAWKhMNDYSvXyX1vqw;Centro Di Gravità Permanente - 2004 - Remaster;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:09PGyODYYlVsL49N7TR914;Pedro Navaja;Anthology;Rubén Blades;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:3HuUNpNC8x8FftKavzpd23;Una de Dos;Auterretratos;Luis Eduardo Aute;2004;240800;26;FALSE;majosegarcia;2016-08-28T15:53:36Z;trova,nueva trova,cantautores,folk latino;Ariola;0.457;0.623;9;-8.623;1;0.156;0.381;0;0.306;0.773;204.347;4;;;;;;;;;;
spotify:track:11rsK9GDZ9UdWsxtDqnMmN;¿Porqué te vas?;Porque Te Vas;Jeanette;11/03/2011;201160;75;FALSE;majosegarcia;2016-08-28T15:55:14Z;;Parlophone Spain;0.612;0.458;0;-11.086;0;0.069;0.427;0.00000841;0.103;0.961;172.516;4;;;;;;;;;;
spotify:track:0vDeTWoAooavG2zcCKHmI4;More Than A Woman (2007 Remastered Saturday Night Fever LP Version);Saturday Night Fever [The Original Movie Soundtrack];Bee Gees;05/01/1978;197573;0;FALSE;majosegarcia;2017-10-12T22:48:18Z;disco;Bee Gees/Reprise;0.6;0.708;7;-6.249;1;0.038;0.16;0.000139;0.446;0.693;106.167;4;;;;;;;;;;
spotify:track:6SatWYCXTZ2n7HDjWE1Voh;Mi Historia Entre Tus Dedos;Las Numero 1 Del Amor Pop;Gianluca Grignani;01/01/2008;307986;0;FALSE;majosegarcia;2017-10-12T22:51:53Z;rock en español,cantautores italianos;Universal Latino;0.627;0.485;0;-7.195;1;0.0411;0.411;0;0.0749;0.458;157.889;4;;;;;;;;;;
spotify:track:0DzwkXawqzpt0k7jxjfdEf;Black betty;Absolute Rock Anthems;Ram Jam;07/07/2008;236160;0;FALSE;majosegarcia;2017-10-12T23:00:30Z;rock sureño;WM Sweden;0.466;0.889;11;-5.301;0;0.115;0.0158;0.00131;0.253;0.773;117.581;4;;;;;;;;;;
spotify:track:2Z3GeObNlM3DNv2ushEic3;En el cielo no hay alcohol;La primera en la frente;Pabellon Psiquiatrico;1987;177293;24;FALSE;majosegarcia;2018-09-08T19:06:49Z;;WM Spain;0.752;0.688;2;-7.117;1;0.0337;0.658;0;0.304;0.903;100.744;4;;;;;;;;;;
spotify:track:0e2VEHzGihG7lc6T4eCjDZ;G de gilipollas;La primera en la frente;Pabellon Psiquiatrico;1987;173306;21;FALSE;majosegarcia;2018-09-08T19:07:14Z;;WM Spain;0.606;0.823;9;-6.061;1;0.123;0.402;0.00000191;0.158;0.618;81.287;4;;;;;;;;;;
spotify:track:20oIUOyQioTLIs7s8fvSZP;Ojos de hielo;Vivo, 17 grandes exitos en directo;Modestia Aparte;30/09/2002;205626;31;FALSE;majosegarcia;2018-09-08T19:10:04Z;;WM Spain;0.471;0.394;8;-11.146;1;0.0377;0.828;0.00000187;0.421;0.32;136.706;4;;;;;;;;;;
spotify:track:0lFMpSl7fU4FU1ZfVWY7He;Cuando Brille el Sol;2 En 1 - Vamonos - Cuando Brille El Sol;La Guardia;04/01/1999;224066;41;FALSE;majosegarcia;2018-09-08T19:10:14Z;;Zafiro;0.515;0.716;7;-11.363;1;0.0361;0.0302;0.000028;0.189;0.927;169.846;4;;;;;;;;;;
spotify:track:6Eftf3XLMULjwKItj0sNwe;Mil Calles Llevan Hacia Tí;Mil Calles Llevan Hacia Tí (1983-2005);La Guardia;01/01/2005;251733;39;FALSE;majosegarcia;2018-09-08T19:10:26Z;;Kainós Producciones;0.412;0.943;9;-3.312;1;0.0763;0.408;0;0.929;0.734;169.462;4;;;;;;;;;;
spotify:track:4A2RJRAz3lFGbvHEcZEQ7m;Una calle de París;20 años de canciones;Duncan Dhu;28/11/2005;140253;32;FALSE;majosegarcia;2018-09-08T19:10:37Z;rock en español,rock latino;DRO/EastWest Spain;0.683;0.752;4;-6.837;1;0.0337;0.074;0.0000256;0.222;0.865;140.012;4;;;;;;;;;;
spotify:track:4k12blydLbcePLvuVSrSgE;El calor del amor en un bar;The Platinum Collection: Gabinete Caligari;Gabinete Caligari;19/03/2007;170680;35;FALSE;majosegarcia;2018-09-08T19:11:10Z;;Parlophone Spain;0.582;0.879;4;-4.077;0;0.031;0.45;0;0.126;0.973;129.254;4;;;;;;;;;;
spotify:track:4bavcis6bApsKI8YkKg3Cx;20 de abril - En directo 1997;Nos Vemos En Los Bares;Celtas Cortos;1997;237346;50;FALSE;majosegarcia;2018-09-08T19:11:16Z;rock celta,celta;DRO/EastWest Spain;0.526;0.722;0;-12.057;1;0.0394;0.000925;0.0000124;0.821;0.468;112.961;4;;;;;;;;;;
spotify:track:3yzHIAzk3zVE1WgspS8W21;Vivir Así Es Morir de Amor;Sentimientos;Camilo Sesto;02/01/1978;210133;64;FALSE;majosegarcia;2018-09-08T19:15:38Z;bolero;Ariola;0.527;0.689;8;-5.684;1;0.0681;0.614;0;0.381;0.691;102.24;4;;;;;;;;;;
spotify:track:6mr8ePVLfE1Gs9VIqfSyDK;Para Que No Me Olvides;Los Grandes Exitos de Lorenzo Santamaria;Lorenzo Santamaría;19/05/1998;250557;28;FALSE;majosegarcia;2018-09-08T19:15:46Z;;Divucsa;0.565;0.544;7;-11.256;1;0.0329;0.0869;0.0000133;0.175;0.62;92.034;4;;;;;;;;;;
spotify:track:7Eb5AYiiGWItBNddlmxvnh;A quién le importa;No Es Pecado -Remasters;Alaska Y Dinarama;1986;205306;61;FALSE;majosegarcia;2018-09-08T19:15:54Z;rock en español;Parlophone Spain;0.568;0.849;7;-10.472;1;0.0338;0.008;0.000343;0.145;0.809;130.746;4;;;;;;;;;;
spotify:track:6Tnnk7MAnZiDx67DJN2hnx;Mi gran noche;Digan Lo Que Digan: Banda Sonora Original De La Pe;Raphael;30/12/1967;180866;63;FALSE;majosegarcia;2018-09-08T19:15:57Z;villancicos;Parlophone Spain;0.645;0.653;9;-7.183;1;0.0629;0.579;0;0.0726;0.868;138.498;4;;;;;;;;;;
spotify:track:6udZus2RwDVhD3zateRfFy;Embrujada;Grandes Exitos (Etiqueta Negra);Tino Casal;28/02/2003;265800;42;FALSE;majosegarcia;2018-09-08T19:16:20Z;;Parlophone Spain;0.725;0.942;10;-3.94;0;0.125;0.0102;0.00921;0.12;0.764;120.803;4;;;;;;;;;;
spotify:track:1eRgClFGphd2MgpyIBsbfS;¡Chas! Y aparezco a tu lado;Alex Y Christina;Alex Y Christina;1988;189613;49;FALSE;majosegarcia;2018-09-08T19:16:28Z;;WM Spain;0.736;0.94;0;-5.146;1;0.0324;0.212;0.00157;0.233;0.98;128.192;4;;;;;;;;;;
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;Eva Maria;Ayer Y Hoy;Formula V;01/01/1985;175506;40;FALSE;majosegarcia;2018-09-08T19:16:33Z;;Universal Music Spain S.L.;0.724;0.578;10;-12.011;1;0.0367;0.363;0;0.0958;0.963;122.044;4;;;;;;;;;;
spotify:track:3QiRtWfWlZtLz43VbJRiEm;Aire - Remastered;Todas sus grabaciones en Hispavox (1979-1986) [Remastered 2015];Pedro Marin;07/04/2015;213813;43;FALSE;majosegarcia;2018-09-08T19:16:50Z;;Parlophone Spain;0.742;0.947;2;-8.251;1;0.0407;0.0527;0.00166;0.0773;0.87;129.246;4;;;;;;;;;;
spotify:track:6dC0U0ZJrmSw05sdnjDpGJ;Enamorado de la moda juvenil;Musica Moderna;Radio Futura;1980;219706;51;FALSE;majosegarcia;2018-09-08T19:17:01Z;rock en español;Parlophone Spain;0.583;0.984;4;-2.397;1;0.119;0.0049;0;0.166;0.792;147.577;4;;;;;;;;;;
spotify:track:4YYd1oPidpG7rVu4OLjPG7;Viaje con nosotros;Bon voyage;Orquesta Mondragon;1980;238493;36;FALSE;majosegarcia;2018-09-08T19:17:12Z;rock en español;WM Spain;0.737;0.881;4;-5.194;1;0.0348;0.172;0;0.0478;0.982;123.461;4;;;;;;;;;;
spotify:track:3sLnj87dflDnVYDmSFWNGG;Eloise;Grandes Exitos (Etiqueta Negra);Tino Casal;28/02/2003;328959;35;FALSE;majosegarcia;2018-09-08T19:17:20Z;;Parlophone Spain;0.514;0.946;10;-9.676;0;0.0576;0.156;0.00306;0.39;0.214;134.981;4;;;;;;;;;;
spotify:track:6Tv0aLcRRxgbK8ZNeSbFEw;Ni tú ni nadie - Re-Mix;Lucha Rock;Alaska Y Dinarama;15/06/2004;215333;32;FALSE;majosegarcia;2018-09-08T19:17:28Z;rock en español;Parlophone Spain;0.594;0.731;7;-8.553;1;0.032;0.557;0.00000206;0.192;0.712;137.887;4;;;;;;;;;;
spotify:track:2v6CEhx4RpMSr8EXZYro7M;Este amor ya no se toca;Cuéntame Los 80;Yuri;18/10/2011;231413;33;FALSE;majosegarcia;2018-09-08T19:17:36Z;villancicos;Parlophone Spain;0.665;0.908;5;-1.148;1;0.11;0.49;0;0.323;0.859;142.391;4;;;;;;;;;;
spotify:track:4oHDiaCilM1xWIr55LjxO0;Hoy No Me Puedo Levantar;Mecano;Mecano;1982;200906;0;FALSE;majosegarcia;2018-09-08T19:17:45Z;rock en español,pop latino;Ariola;0.575;0.87;9;-5.068;1;0.04;0.113;0.00854;0.0805;0.685;156.837;4;;;;;;;;;;
spotify:track:2yNkRWz9x7x3halzGPnYqn;Don Diablo;"Miguel Bosé. ""Morir De Amor""";Miguel Bosé;1977;227466;33;FALSE;majosegarcia;2018-09-08T19:17:56Z;pop latino;Legacy Recordings;0.761;0.744;5;-12.936;1;0.101;0.0987;0;0.239;0.9;108.254;4;;;;;;;;;;
spotify:track:09uE7kHv2ESkvtInKugpGM;Yo no te pido la luna (Non voglio mica la luna);Amor prohibido;Daniela Romo;18/05/1984;236453;65;FALSE;majosegarcia;2018-09-08T19:18:17Z;villancicos;WM Spain;0.699;0.906;1;-4.593;1;0.0483;0.241;0;0.298;0.666;121.848;4;;;;;;;;;;
spotify:track:7zteNrLJJwjGa8e2IodVOp;Me Colé en una Fiesta;Mecano;Mecano;1982;256853;0;FALSE;majosegarcia;2018-09-08T19:18:31Z;rock en español,pop latino;Ariola;0.731;0.982;9;-4.451;0;0.053;0.117;0.000448;0.0616;0.883;144.802;4;;;;;;;;;;
spotify:track:4v2WZwihAzu0RZFUMl4y8l;La culpa fue del cha-cha-chá;Privado;Gabinete Caligari;1989;214826;48;FALSE;majosegarcia;2018-09-08T19:18:41Z;;Parlophone Spain;0.882;0.718;0;-9.561;1;0.044;0.248;0.0000357;0.0915;0.976;135.11;4;;;;;;;;;;
spotify:track:0OteyYh6inrfcil1XGwC3r;Bailando;Grandes Éxitos - Edición Para Coleccionistas;Alaska Y Los Pegamoides;13/10/1982;308346;47;FALSE;majosegarcia;2018-09-08T19:18:45Z;;Parlophone Spain;0.658;0.879;7;-5.464;0;0.0499;0.00267;0.000675;0.239;0.448;125.041;4;;;;;;;;;;
spotify:track:6lazLV13sV8VNGJTjL4Zeu;Black Is Black;Black Is Black;Los Bravos;2000;176600;53;FALSE;majosegarcia;2018-09-08T19:18:52Z;;Legacy Recordings;0.575;0.843;2;-5.931;1;0.0584;0.239;0.00000516;0.0764;0.858;128.169;4;;;;;;;;;;
spotify:track:5QfmCmdL4qnzqMz5Z0gvzV;Te Estoy Amando Locamente;Te Estoy Amando Locamente;Las Grecas;23/10/1974;191026;43;FALSE;majosegarcia;2018-09-08T19:19:32Z;flamenco,flamenco pop;Sony Music Media;0.621;0.755;7;-6.77;0;0.0787;0.284;0.00245;0.0962;0.937;81.231;4;;;;;;;;;;
spotify:track:3utK0tH0YhlB5fIjdy3em7;Melina;Amor Libre;Camilo Sesto;02/01/1975;170800;64;FALSE;majosegarcia;2018-09-08T19:19:41Z;bolero;Ariola;0.573;0.648;2;-6.203;1;0.0368;0.754;0.00000105;0.0509;0.93;133.445;4;;;;;;;;;;
spotify:track:7Ja3xxyLa5mdvAOlzBPXd2;Aqui No Hay Playa;Universal.es The Refrescos;The Refrescos;01/01/2004;215574;0;FALSE;majosegarcia;2018-09-08T19:19:57Z;;Universal/Island Def Jam;0.602;0.947;9;-8.05;1;0.0421;0.257;0.00079;0.159;0.934;168.145;4;;;;;;;;;;
spotify:track:3vZIk7CBfZX7JJQn1EdDMs;"Divina ""Los bailes de Marte"" - 1991 Remastered Version";Musica Moderna;Radio Futura;1980;160506;43;FALSE;majosegarcia;2018-09-08T19:20:08Z;rock en español;Parlophone Spain;0.827;0.655;9;-10.34;1;0.0618;0.4;0.000194;0.0546;0.972;150.998;4;;;;;;;;;;
spotify:track:2MPWdzsLs7owJCpNS1Eq8Y;Rock and Roll Star;Grandes Éxitos: Loquillo;Loquillo;21/03/2005;249240;50;FALSE;majosegarcia;2018-09-08T19:20:41Z;;Parlophone Spain;0.666;0.956;1;-4.404;0;0.0381;0.345;0.0000163;0.137;0.947;142.758;4;;;;;;;;;;
spotify:track:3GHgLIY5drnms1MPKcMlmi;Cadillac solitario - Live;A Por Ellos...Que Son Pocos Y Cobardes (Live);Loquillo Y Los Trogloditas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:7gboHLP5Cyl957IdJRxoYj;Guardalo;Guárdalo Con Amor;Los Ronaldos;22/04/2005;208226;12;FALSE;majosegarcia;2018-09-08T19:20:56Z;;Parlophone Spain;0.448;0.841;2;-9.242;1;0.0989;0.00325;0.000232;0.314;0.768;80.285;4;;;;;;;;;;
